query,Iteration,--base Total Energy (J),index Total Energy (J),compression Total Energy (J),index-and-compression Total Energy (J)
20,27,61.2797,59.7151,59.174,65.8861
20,28,61.6362,59.6881,63.3813,64.8554
20,29,74.2387,58.6981,63.3916,59.7287
20,30,62.1154,60.4,59.1568,59.2991
21,1,64.2265,60.8617,61.0392,59.2086
21,2,65.0363,60.7231,58.5956,58.5619
21,3,60.9946,60.8386,60.5128,65.0281
21,4,61.1049,66.5702,59.7224,64.7584
21,5,59.8768,60.9762,59.0296,60.7889
21,6,60.8331,63.1215,58.2998,58.9788
21,7,61.0704,64.811,60.6805,60.8916
21,8,60.0179,59.6932,61.0769,60.5699
21,9,61.0263,60.2072,59.8852,59.9276
21,10,66.3103,60.1445,60.8572,66.6807
21,11,62.7843,61.0546,59.6162,60.5502
21,12,62.8712,64.009,61.7968,62.3399
21,13,63.4737,58.5512,61.6543,63.9399
21,14,62.291,61.7526,61.2504,60.6355
21,15,58.0629,60.7782,57.7378,58.0154
21,16,62.2009,66.1081,58.7802,66.0807
21,17,60.5649,65.4845,61.8246,58.6677
21,18,60.4462,60.1985,60.293,61.555
21,19,58.156,61.4155,59.7685,59.421
21,20,64.0467,60.979,61.0687,59.6877
21,21,64.8477,61.4031,62.9984,61.8462
21,22,60.0723,62.5707,58.3567,66.167
21,23,64.904,61.1849,61.3708,62.5911
21,24,61.9622,63.5906,62.0613,61.3515
21,25,61.0215,60.8968,58.2406,61.3977
21,26,60.549,61.0551,59.3275,62.7068
21,27,62.7736,63.7563,62.8974,64.0729
21,28,61.4405,62.2791,59.4813,59.7006
21,29,60.582,59.7066,58.0165,62.735
21,30,62.5684,62.6668,63.246,61.1636
22,1,4155.18,1.50313,4475.45,1.32062
22,2,4381.15,1.66514,4261.24,1.04712
22,3,-121381.0,2.00247,4217.39,0.988554
22,4,4457.08,1.56221,3957.82,0.85516
22,5,4805.73,1.4642,4975.47,1.18198
22,6,3998.29,1.34997,4566.11,1.2234
22,7,4509.66,1.74537,4533.58,1.36599
22,8,4285.32,0.691723,4670.49,1.43898
22,9,3910.03,1.44959,3945.41,1.37901
22,10,5025.61,1.49491,4164.95,1.10182
22,11,3997.46,1.36756,4388.38,0.955659
22,12,4506.19,1.4149,4337.56,1.32347
22,13,4566.12,1.04967,3985.48,1.09456
22,14,4220.08,1.68521,4699.12,1.3443
22,15,4636.77,1.33674,4171.95,1.21416
22,16,4244.43,1.21714,-121487.0,1.19035
22,17,5034.06,1.15176,4419.98,0.998246
22,18,4404.96,1.32661,4819.9,1.32356
22,19,4147.53,1.31267,4581.85,1.25087
22,20,4228.75,1.30082,4021.58,1.06177
22,21,4554.8,0.911589,4527.59,1.31469
22,22,4229.88,1.70506,4518.13,1.27034
22,23,4315.38,1.52147,4105.95,1.05919
22,24,4496.56,1.1732,4680.05,1.14065
22,25,5069.21,1.67603,4213.08,0.723501
22,26,-121800.0,1.2542,4060.48,1.61566
22,27,3954.49,1.62263,5182.53,1.84487
22,28,4829.39,1.30642,4140.57,1.3521
22,29,4236.91,1.33633,4444.83,0.884478
22,30,4760.5,1.83923,4161.36,1.08078
