query,Iteration,--base Total Energy (J),index Total Energy (J),compression Total Energy (J),index-and-compression Total Energy (J)
5,18,20.9506,28.191,17.9645,23.6547
5,19,21.6924,26.1123,19.1103,25.7863
5,20,20.8998,28.8445,15.4489,24.9099
5,21,20.7621,24.9917,13.7539,22.9875
5,22,25.3469,25.9721,17.7156,22.5561
5,23,19.4693,23.4935,18.2102,26.9283
5,24,21.1967,25.1408,18.166,23.201
5,25,23.0487,26.3045,18.424,24.3258
5,26,21.145,27.312,18.4845,24.1079
5,27,21.0782,28.1802,18.5228,23.9084
5,28,19.6679,27.7697,17.3931,25.4748
5,29,22.1555,27.8769,15.696,24.3573
5,30,22.7455,25.699,17.6833,24.2024
6,1,35.5102,32.6435,37.759,31.2335
6,2,36.6599,34.411,32.19,37.7179
6,3,36.8942,33.5556,33.7943,39.2293
6,4,38.7626,36.8603,33.1371,32.0723
6,5,36.1936,34.8542,34.1989,35.7334
6,6,34.4468,36.3644,31.9112,33.3803
6,7,35.0246,35.0303,36.1083,32.7911
6,8,34.4236,31.7593,34.9732,34.815
6,9,34.6997,35.6993,35.1019,35.1677
6,10,35.0524,37.2029,36.9126,34.1902
6,11,36.1003,38.4364,31.6133,37.2242
6,12,36.4858,34.2279,35.752,36.449
6,13,37.1426,31.8447,31.3051,35.3448
6,14,34.8685,36.539,33.7671,40.7583
6,15,35.12,35.8301,32.1874,38.4828
6,16,33.9842,36.0553,36.6206,36.5989
6,17,32.8579,37.1566,34.0725,37.7428
6,18,35.785,31.5908,35.5827,37.2357
6,19,34.5741,35.1368,33.5281,38.935
6,20,38.9728,32.3979,35.1947,35.6187
6,21,35.4455,35.7486,34.1587,38.8625
6,22,34.3215,33.7942,33.1188,37.1074
6,23,35.2186,34.4931,32.13,33.3694
6,24,35.8981,34.9794,35.8391,33.7696
6,25,33.6093,36.102,31.4854,37.8922
6,26,35.9385,37.6482,34.3302,39.0983
6,27,30.6439,34.088,30.5034,33.9529
6,28,35.832,32.3001,29.4789,37.2881
6,29,36.5632,32.1203,30.838,37.3611
6,30,37.6407,32.8979,30.8623,34.6776
7,1,28.9073,31.3667,28.4199,35.53
7,2,30.9019,32.8838,29.0913,35.614
7,3,30.4274,31.6593,28.1201,31.4927
7,4,31.0714,34.337,33.6531,32.113
7,5,28.8115,34.2442,29.9377,32.0165
7,6,25.4127,32.4107,34.3529,41.1282
7,7,33.9095,28.6661,33.4726,35.1986
7,8,25.7928,30.6256,35.1803,32.8167
7,9,25.3916,37.3846,27.5889,32.0478
7,10,27.5003,37.8634,29.9244,33.5293
