query,Iteration,--base Juliet Java Total Energy (J),--base Total Energy (J),--base Average Energy (J),--base Total Power (W),--base Average Power (W),--base Runtime,--base Read Count,--base Postgres CPU %,--base Postgres Read Count,index Juliet Java Total Energy (J),index Total Energy (J),index Average Energy (J),index Total Power (W),index Average Power (W),index Runtime,index Read Count,index Postgres CPU %,index Postgres Read Count,compression Juliet Java Total Energy (J),compression Total Energy (J),compression Average Energy (J),compression Total Power (W),compression Average Power (W),compression Runtime,compression Read Count,compression Postgres CPU %,compression Postgres Read Count,index-and-compression Juliet Java Total Energy (J),index-and-compression Total Energy (J),index-and-compression Average Energy (J),index-and-compression Total Power (W),index-and-compression Average Power (W),index-and-compression Runtime,index-and-compression Read Count,index-and-compression Postgres CPU %,index-and-compression Postgres Read Count
1,12,23.2248,10.485799999999994,0.2097159999999998,0.9622,0.0192439999999999,24227075596,112.0,57.98,47885.43,19.8278,11.923899999999994,0.2772999999999999,1.4615,0.0339883720930232,19868850569,112.0,0.0,0.0,26.4463,10.322200000000004,0.2517609756097562,0.2249,0.0054853658536585,24889627292,112.0,70.15,37134.95,22.5812,13.504099999999989,0.2873212765957444,0.8223,0.017495744680851,20148308795,112.0,0.0,0.0
1,13,27.4949,14.440399999999988,0.2447525423728811,0.0644,0.0010915254237288,24152726270,112.0,71.9,47883.06,26.8418,9.532999999999992,0.2216976744186044,1.0997,0.0255744186046511,23064958899,112.0,0.0,0.0,20.0669,12.844900000000008,0.2854422222222224,0.0736,0.0016355555555555,24921247597,112.0,62.09,37806.93,24.6267,13.035500000000011,0.289677777777778,0.9102,0.0202266666666666,21242194551,112.0,0.0,0.0
1,14,24.0555,12.64210000000001,0.2217912280701756,0.9257,0.0162403508771929,24236904082,112.0,61.86,47309.31,22.0825,10.6485,0.2535357142857143,1.6225,0.0386309523809523,20970980290,112.0,0.0,0.0,22.8454,9.4819,0.2017425531914894,0.1823,0.0038787234042553,23327635986,112.0,94.91,39620.2,23.812,15.20239999999999,0.3167166666666665,1.0345,0.0215520833333333,20104437030,112.0,0.0,0.0
1,15,25.6318,11.528099999999997,0.2561799999999999,0.2551,0.0056688888888888,24173362475,112.0,68.82,44865.46,19.4918,12.988,0.3092380952380952,1.8344,0.0436761904761904,19919406611,112.0,0.0,0.0,25.6865,12.04819999999999,0.2677377777777776,0.8572,0.0190488888888888,23401935111,112.0,94.31,39057.3,23.5242,12.383200000000008,0.2579833333333335,1.0036,0.0209083333333333,22151171804,112.0,0.0,0.0
1,16,24.2172,15.346499999999992,0.269236842105263,1.1772,0.0206526315789473,24221349967,112.0,70.41,47394.6,21.7492,13.706299999999992,0.258609433962264,0.2153999999999999,0.0040641509433962,19931457928,112.0,0.0,0.0,25.6942,9.659699999999994,0.2099934782608694,0.9094,0.0197695652173913,25003144971,112.0,72.89,38630.81,25.199,13.68349999999999,0.3337439024390241,0.9501,0.0231731707317073,20401514760,112.0,0.0,0.0
1,17,22.8888,11.807100000000002,0.2566760869565218,0.2924,0.0063565217391304,25518184913,112.0,70.71,45217.55,23.9392,12.242599999999992,0.2847116279069765,1.9648,0.0456930232558139,20986926970,112.0,0.0,0.0,27.2298,9.6313,0.2140288888888888,2.6232,0.0582933333333333,25215629588,112.0,64.17,37901.19,19.8209,12.443299999999995,0.2647510638297872,0.9923,0.0211127659574468,20235744165,112.0,0.0,0.0
1,18,27.9755,12.246699999999992,0.2605680851063828,0.2507,0.0053340425531914,28711642362,112.0,65.88,47253.44,25.4918,12.794900000000007,0.3280743589743592,0.2202,0.0056461538461538,20952244499,112.0,0.0,0.0,22.1825,11.4589,0.2246843137254902,0.6195,0.0121470588235294,24899828865,112.0,66.19,37529.84,23.9729,80.43250000000005,0.5585590277777781,0.172,0.0011944444444444,20113822245,112.0,0.0,0.0
1,19,37.0165,12.424899999999992,0.2389403846153844,0.7236,0.0139153846153846,30238293206,112.0,59.24,41950.3,25.7773,13.494600000000014,0.2811375000000003,0.6013999999999999,0.0125291666666666,20972570682,112.0,0.0,0.0,23.7664,12.836899999999993,0.2377203703703702,0.7754,0.0143592592592592,23461978574,112.0,66.32,36761.69,20.7708,13.430399999999992,0.2984533333333332,0.3686,0.0081911111111111,20218300037,112.0,0.0,0.0
1,20,27.7306,13.0889,0.2908644444444444,0.094,0.0020888888888888,26245264526,112.0,60.8,46451.99,23.7059,10.461599999999995,0.2225872340425531,1.2784,0.0272,21049054206,112.0,0.0,0.0,23.5897,13.11379999999999,0.2341749999999998,0.6208,0.0110857142857142,23355154812,112.0,67.09,37686.92,22.9852,11.65490000000001,0.258997777777778,1.2967,0.0288155555555555,21258904149,112.0,0.0,0.0
1,21,21.2172,12.758999999999991,0.3037857142857141,0.4213,0.0100309523809523,24754918345,112.0,63.07,47041.65,22.5218,10.601999999999997,0.2465581395348836,1.1164,0.0259627906976744,20926679151,112.0,0.0,0.0,22.0073,13.82499999999999,0.2880208333333331,0.7988999999999999,0.01664375,25006905281,112.0,74.69,38450.97,20.8924,10.848299999999991,0.2410733333333331,0.9064,0.0201422222222222,20171240086,112.0,0.0,0.0
